order_id,product_id
1,3
2,2
3,2
4,5
5,3
6,3
7,1
7,2
8,4
9,4
10,3
11,4
11,4
12,5
13,2
14,3
15,4
15,2
16,5
16,1
16,5
16,2
16,1
17,2
18,4
19,4
20,2
20,1
20,1
20,5
21,2
22,4
22,5
23,1
24,5
25,2
25,2
26,2
26,1
26,1
27,2
27,3
28,5
29,4
29,5
29,2
30,1
30,3
31,3
31,3
31,4
31,3
31,2
31,1
32,2
32,2
33,3
33,2
33,5
33,3
34,4
35,2
36,1
37,2
37,2
38,4
39,1
40,2
40,3
40,4
41,3
41,4
41,5
41,2
42,1
42,3
42,4
43,2
43,3
44,3
45,4
46,4
47,2
48,4
48,3
48,1
49,2
50,3
50,2
50,3
50,4
51,2
52,4
53,3
54,4
55,4
56,1
57,2
58,2
59,1
60,1
61,2
62,1
63,3
64,2
65,1
66,2
67,3
68,5
69,4
70,3
71,1
72,3
73,1
74,5
75,2
76,2
77,2
78,3
79,4
79,5
79,2
80,2
81,2
82,2
82,1
82,2
83,5
84,3
85,2
85,3
85,2
86,3
86,2
87,2
87,3
88,5
89,5
89,2
89,1
90,2
90,1
90,5
90,2
91,3
91,2
91,1
92,2
92,3
93,4
94,5
95,2
96,2
96,3
96,5
97,1
97,2
97,1
98,2
99,2
100,1
101,3
101,3
102,3
102,5
102,3
103,5
103,2
104,2
104,4
104,5
105,4
105,1
106,2
106,5
106,2
107,1
108,2
108,3
108,2
109,4
109,3
110,2
111,3
111,3
112,2
112,3
113,3
113,2
114,5
114,2
114,2
115,3
116,3
117,3
118,3
118,2
119,1
120,4
120,2
121,3
122,2
122,2
123,3
123,4
124,3
125,4
126,2
126,4
127,5
128,2
128,4
129,3
130,5
131,5
132,3
133,2
134,5
135,3
136,2
137,3
138,5
139,3
140,4
141,4
142,3
143,2
144,3
145,2
146,5
146,5
146,3
147,3
148,5
149,2
149,4
149,2
150,5
150,2
150,5
150,5
150,4
151,2
152,4
153,3
153,2
154,1
155,2
155,2
155,5
156,2
156,3
156,2
156,1
157,4
157,3
158,3
158,4
159,2
160,4
160,2
160,5
161,4
161,1
162,2
162,3
162,4
163,1
164,4
164,2
165,3
166,2
166,2
167,1
168,4
168,4
168,3
169,2
170,4
170,1
170,5
170,3
171,2
172,4
173,2
173,2
174,5
175,3
175,5
176,4
176,5
176,3
177,3
178,2
179,5
180,1
181,3
182,3
182,3
182,3
182,3
183,4
184,3
184,2
185,3
186,4
187,2
187,5
188,4
188,2
188,3
189,3
190,5
190,3
191,3
191,2
191,2
192,1
193,4
194,2
195,3
195,1
196,1
196,3
197,2
197,1
198,2
199,4
199,2
200,2
201,3
201,2
202,2
203,4
204,3
205,1
206,3
206,1
206,3
207,2
208,2
209,5
210,4
210,2
211,5
212,3
213,5
213,3
214,4
214,4
214,4
215,1
216,2
217,2
218,4
219,3
220,2
221,3
222,3
223,2
224,2
225,3
226,5
227,4
228,4
229,2
230,5
231,2
231,3
232,1
232,4
232,4
233,3
234,2
235,3
236,2
236,4
237,5
238,2
238,4
238,3
239,4
239,4
240,4
240,5
241,2
242,2
242,4
243,3
243,1
244,2
245,2
245,5
246,4
247,2
248,5
248,3
248,5
248,4
249,4
249,4
250,2
251,2
251,3
251,4
252,3
253,1
253,3
